id,slug,internalId,description,duration,presenterDisplayName,publishedAt
597556,imogen_ellen_napper_and_jim_bentley_the_weirdest_stuff_orbiting_earth,162262,"There are over 131 million pieces of debris currently whipping around the planet. They range in size from a grain of sand to the size of an entire bus. These orbital debris pose a serious threat to the thousands of satellites that underpin Earth’s vital technologies. So, how can we save our satellites and ourselves from all this trash? Jim Bentley and Imogen Ellen Napper investigate. [Directed by Franz Palomares, narrated by Addison Anderson, music by Stephen LaRosa].",302,Imogen Ellen Napper and Jim Bentley,2025-10-16T15:01:21Z
598761,esther_duflo_tax_the_rich_and_save_the_planet,162528,"Nobel Prize-winning economist Esther Duflo brings her data-driven precision to the climate crisis — and the numbers are damning. While world leaders haggle over finances at endless summits, rising temperatures will kill millions in the poorest countries by the end of this century. She calculates the staggering cost of wealthy nations pumping greenhouse gases into the atmosphere, proving that getting billionaires to pay their fair share in taxes is the best way to cover these damages.",644,Esther Duflo,2025-10-15T15:01:51Z
597554,imran_razik_how_vampire_bats_drink_your_blood_without_you_noticing,162261,"Vampire bats are the only mammals to subsist on blood alone. Their ancient ancestors might have eaten parasites and insects off larger animals until vampire bats began feeding directly from those animals themselves. So, how do these nocturnal creatures find their sustenance? And what animals do they most commonly target? Imran Razik follows the nighttime routine of a vampire bat as she hunts. [Directed by Sharon Colman, narrated by Adrian Dannatt, music by Jarrett Farkas].",339,Imran Razik,2025-10-14T15:02:17Z
581925,amaury_guichon_a_pastry_chef_works_his_chocolatier_magic_live,155034,"Get a taste of the chocolatier life from world-renowned pastry chef Amaury Guichon as he shares his story — and the secrets of his craft — with podcaster Latif Nasser. Learn what it takes to construct elaborate, lifelike (and delicious) sculptures from 100 percent confectionery ingredients as Guichon puts the final touches on his signature decadent chocolate clock pastry, complete with delicate gears.",757,Amaury Guichon,2025-10-14T14:59:25Z
597955,kate_johnson_the_flourishing_future_of_women_s_sports,162374,"Women's sports are surging in popularity around the world, with record-breaking viewership, attendance and revenue growth. And yet, social media algorithms still skew towards covering men's sports. Olympic rower Kate Johnson, who now leads global marketing strategy for sports and entertainment at Google, unpacks why this is still happening — and what it will take to level the playing field for women’s sports.",772,Kate Johnson,2025-10-13T15:09:12Z
596968,claudia_vega_the_hidden_cost_of_buying_gold,161945,"Gold may glitter, but the hidden cost of mining it is devastating. Amazon researcher and TED Fellow Claudia Vega exposes how mercury pollution from artisanal gold mining poisons local communities and destroys rainforests — and shows why protecting the planet is far more valuable than any treasure. ",404,Claudia Vega,2025-10-08T14:30:35Z
594330,xu_hao_how_we_re_turning_pollution_into_toys_toothpaste_and_more,160684,"It took alcohol 200 years to go from scientific discovery to industrial revolution, but tech innovator Xu Hao says we can’t afford to wait that long to tackle the climate crisis. He explores why most climate solutions are still stuck in labs — despite breakthrough science that can turn planet-warming CO2 into everyday products like toothpaste, water bottles and smartphone components — and explains what it will take for a clean future to arrive sooner than we think.",781,Xu Hao,2025-10-09T14:45:26Z
596973,matt_pitcher_what_it_s_really_like_to_win_the_lottery,161947,"What happens when ordinary people win the lottery? Financial planner Matt Pitcher shares lessons from more than a decade of advising lotto winners, revealing how sudden wealth can unbalance life and spark consumerism — or create profound opportunities for meaning. This talk just might make you rethink the link between money and happiness.",693,Matt Pitcher,2025-10-08T14:49:10Z
595448,anna_rothschild_how_exactly_do_inhalers_work,161273,"Inhalers are mainly used to treat two conditions: asthma and chronic obstructive pulmonary disease, or COPD. And there are two main types: preventative inhalers and rescue inhalers. Preventative inhalers can be used every day to control symptoms, while rescue inhalers are great in an emergency. So, how do they work? Anna Rothschild explains the science behind these simple yet powerful devices. Directed by Max Zaglotskyi, Anna Sai, Darvideo Animation Studio, narrated by Pen-Pen Chen].",259,Anna Rothschild,2025-10-07T15:01:19Z
596934,lenore_skenazy_how_to_raise_confident_kids_in_an_age_of_anxiety,161943,"The secret to reducing childhood anxiety is actually quite simple: just let kids do more stuff on their own, says Lenore Skenazy, cofounder and president of Let Grow, an organization dedicated to normalizing childhood independence. In conversation with TED’s Whitney Pennington Rodgers, Skenazy discusses why parenting has become more demanding in our safety-obsessed world — and offers a more joyful, trusting alternative to helicopter parenting, with tangible steps for how to start safely (and sanely) letting your kids grow. (This conversation was part of an exclusive TED Membership event. TED Membership is the best way to support and engage with the big ideas you love from TED. To learn more, visit ted.com/membership.)",2492,Lenore Skenazy,2025-10-07T14:28:04Z
