id,related_id,slug,title,presenterDisplayName
597556,71355,moriba_jah_what_if_every_satellite_suddenly_disappeared,What if every satellite suddenly disappeared?,Moriba Jah
597556,81368,zoe_pierrat_earth_s_mysterious_red_glow_explained,"Earth's mysterious red glow, explained",Zoe Pierrat
597556,133908,shannon_odell_why_are_scientists_shooting_mushrooms_into_space,Why are scientists shooting mushrooms into space?,Shannon Odell
598761,160076,amy_barnes_will_climate_change_make_your_home_uninsurable,Will climate change make your home uninsurable?,Amy Barnes
598761,98643,ted_ed_is_capitalism_actually_broken,Is capitalism actually broken?, TED-Ed
598761,157429,jacqueline_novogratz_700_million_people_still_live_without_electricity_here_s_how_to_fix_that,700 million people still live without electricity. Here’s how to fix that,Jacqueline Novogratz
598761,192,david_keith_a_critical_look_at_geoengineering_against_climate_change,A critical look at geoengineering against climate change,David Keith
598761,243,al_gore_new_thinking_on_the_climate_crisis,New thinking on the climate crisis,Al Gore
598761,1380,james_hansen_why_i_must_speak_out_about_climate_change,Why I must speak out about climate change,James Hansen
597554,72493,arinjay_banerjee_why_bats_don_t_get_sick,Why bats don't get sick,Arinjay Banerjee
597554,23994,michael_molina_vampires_folklore_fantasy_and_fact,"Vampires: Folklore, fantasy, and fact",Michael Molina
597554,46518,ben_longdon_how_do_viruses_jump_from_animals_to_humans,How do viruses jump from animals to humans?,Ben Longdon
581925,148362,pinky_cole_how_i_make_vegan_food_sexy,How I make vegan food sexy,Pinky Cole
581925,158573,jenny_du_the_science_of_making_fruits_and_veggies_last_longer,The science of making fruits and veggies last longer,Jenny Du
581925,159493,carolyn_beans_what_are_truffles_and_why_are_they_so_expensive,"What are truffles, and why are they so expensive?",Carolyn Beans
581925,1304,homaro_cantu_ben_roche_cooking_as_alchemy,Cooking as alchemy,Homaro Cantu + Ben Roche
581925,207,paola_antonelli_treat_design_as_art,Treat design as art,Paola Antonelli
581925,1184,nathan_myhrvold_cooking_as_never_seen_before,Cooking as never seen before,Nathan Myhrvold
597955,161150,paul_triple_h_levesque_patrick_talty_inside_wwe_s_storytelling_machine,Inside WWE's storytelling machine,"Paul ""Triple H"" Levesque, Patrick Talty"
597955,147981,taylor_lynn_carpenter_parkour_how_the_sport_keeps_your_body_and_mind_fit,Parkour! How the sport keeps your body and mind fit,Taylor Lynn Carpenter
597955,135722,allyson_felix_the_olympic_spirit_and_how_you_can_tap_into_it,The Olympic spirit — and how you can tap into it,Allyson Felix
597955,1066,johanna_blakley_social_media_and_the_end_of_gender,Social media and the end of gender,Johanna Blakley
597955,1918,esta_soler_how_we_turned_the_tide_on_domestic_violence_hint_the_polaroid_helped,How we turned the tide on domestic violence (Hint: the Polaroid helped),Esta Soler
597955,1191,nadia_al_sakkaf_see_yemen_through_my_eyes,See Yemen through my eyes,Nadia Al-Sakkaf
596968,158681,dion_dawson_your_zip_code_shouldn_t_determine_your_lifespan,Your zip code shouldn’t determine your lifespan,Dion Dawson
596968,158679,molly_hemstreet_a_bold_idea_to_rebuild_the_working_class,A bold idea to rebuild the working class,Molly Hemstreet
596968,138326,mohamed_aburawi_a_hospital_in_the_cloud_bringing_health_care_anywhere_in_the_world,A hospital in the cloud bringing health care anywhere in the world,Mohamed Aburawi
596968,170,jeff_skoll_my_journey_into_movies_that_matter,My journey into movies that matter,Jeff Skoll
596968,403,franco_sacchi_a_tour_of_nollywood_nigeria_s_booming_film_industry,"A tour of Nollywood, Nigeria's booming film industry",Franco Sacchi
596968,561,yann_arthus_bertrand_a_wide_angle_view_of_fragile_earth,A wide-angle view of fragile Earth,Yann Arthus-Bertrand
594330,119530,john_o_donnell_can_a_simple_brick_be_the_next_great_battery,Can a simple brick be the next great battery?,John O'Donnell
594330,159494,mfikeyi_makayi_the_emerging_science_of_finding_critical_metals,The emerging science of finding critical metals ,Mfikeyi Makayi
594330,73540,ted_ed_the_material_that_could_change_the_world_for_a_third_time,The material that could change the world ... for a third time, TED-Ed
594330,192,david_keith_a_critical_look_at_geoengineering_against_climate_change,A critical look at geoengineering against climate change,David Keith
594330,1380,james_hansen_why_i_must_speak_out_about_climate_change,Why I must speak out about climate change,James Hansen
594330,243,al_gore_new_thinking_on_the_climate_crisis,New thinking on the climate crisis,Al Gore
596973,78380,robert_a_belle_the_emotions_behind_your_money_habits,The emotions behind your money habits,Robert A. Belle
596973,158458,nidhi_upadhyaya_how_we_got_hooked_on_credit_cards,How we got hooked on credit cards,Nidhi Upadhyaya
596973,131495,freada_kapor_klein_how_to_use_venture_capital_for_good,How to use venture capital for good,Freada Kapor Klein
596973,1607,matt_killingsworth_want_to_be_happier_stay_in_the_moment,Want to be happier? Stay in the moment,Matt Killingsworth
596973,570,nancy_etcoff_happiness_and_its_surprises,Happiness and its surprises,Nancy Etcoff
596973,779,daniel_kahneman_the_riddle_of_experience_vs_memory,The riddle of experience vs. memory,Daniel Kahneman
595448,24145,emma_bryce_how_do_the_lungs_work,How do the lungs work?,Emma Bryce
595448,63589,alex_gendler_how_do_ventilators_work,How do ventilators work?,Alex Gendler
595448,24274,katharina_ribbeck_how_mucus_keeps_us_healthy,How mucus keeps us healthy,Katharina Ribbeck
596934,153162,lenore_skenazy_why_you_should_spend_less_time_with_your_kids,Why you should spend less time with your kids,Lenore Skenazy
596934,137460,jonathan_haidt_are_smartphones_ruining_childhood,Are smartphones ruining childhood?,Jonathan Haidt
596934,77111,yuko_munakata_the_science_behind_how_parents_affect_child_development,The science behind how parents affect child development,Yuko Munakata
596934,1974,jennifer_senior_for_parents_happiness_is_a_very_high_bar,"For parents, happiness is a very high bar",Jennifer Senior
596934,1732,geoffrey_canada_our_failing_schools_enough_is_enough,Our failing schools. Enough is enough!,Geoffrey Canada
596934,1675,bruce_feiler_agile_programming_for_your_family,Agile programming -- for your family,Bruce Feiler
597320,129029,aziz_abu_sarah_and_maoz_inon_a_palestinian_and_an_israeli_face_to_face,"A Palestinian and an Israeli, face to face",Aziz Abu Sarah and Maoz Inon
597320,112608,ian_bremmer_the_next_global_superpower_isn_t_who_you_think,The next global superpower isn't who you think,Ian Bremmer
597320,148425,ian_bremmer_why_ukraine_s_drone_attack_on_russia_changes_war_forever,Why Ukraine's drone attack on Russia changes war forever,Ian Bremmer
597320,1214,julia_bacha_pay_attention_to_nonviolence,Pay attention to nonviolence,Julia Bacha
597320,1003,stefan_wolff_the_path_to_ending_ethnic_conflicts,The path to ending ethnic conflicts,Stefan Wolff
597320,1839,trita_parsi_iran_and_israel_peace_is_possible,Iran and Israel: Peace is possible,Trita Parsi
596936,160683,deja_foxx_going_viral_taught_me_the_internet_is_broken_but_fixable,Going viral taught me the internet is broken — but fixable,Deja Foxx
596936,122557,sofia_ongele_your_creative_superpowers_can_help_protect_democracy,Your creative superpowers can help protect democracy,Sofia Ongele
596936,148344,adam_aleksic_are_we_cooked_how_social_media_shapes_your_language,Are we cooked? How social media shapes your language,Adam Aleksic
596936,1066,johanna_blakley_social_media_and_the_end_of_gender,Social media and the end of gender,Johanna Blakley
596936,641,evgeny_morozov_how_the_net_aids_dictatorships,How the Net aids dictatorships,Evgeny Morozov
596936,575,clay_shirky_how_social_media_can_make_history,How social media can make history,Clay Shirky
594328,158865,anshul_tewari_want_to_make_change_let_young_people_tell_their_stories,Want to make change? Let young people tell their stories,Anshul Tewari
594328,142043,elise_hu_how_digital_culture_is_reshaping_our_faces_and_bodies,How digital culture is reshaping our faces and bodies,Elise Hu
594328,148344,adam_aleksic_are_we_cooked_how_social_media_shapes_your_language,Are we cooked? How social media shapes your language,Adam Aleksic
594328,1066,johanna_blakley_social_media_and_the_end_of_gender,Social media and the end of gender,Johanna Blakley
594328,575,clay_shirky_how_social_media_can_make_history,How social media can make history,Clay Shirky
594328,1436,gary_kovacs_tracking_our_online_trackers,Tracking our online trackers,Gary Kovacs
595676,44339,heidi_grant_how_to_ask_for_help_and_get_a_yes,"How to ask for help -- and get a ""yes""",Heidi Grant
595676,160681,bradley_tusk_and_ali_kashani_how_will_new_tech_shape_your_life_a_roboticist_and_a_political_strategist_answer,How will new tech shape your life? A roboticist and a political strategist answer,Bradley Tusk and Ali Kashani
595676,160811,yancey_strickler_and_jenny_du_how_do_you_rethink_how_the_world_works_an_entrepreneur_and_an_engineer_answer,How do you rethink how the world works? An entrepreneur and an engineer answer,Yancey Strickler and Jenny Du
595676,2841,tom_gruber_how_ai_can_enhance_our_memory_work_and_social_lives,"How AI can enhance our memory, work and social lives",Tom Gruber
595676,17851,max_tegmark_how_to_get_empowered_not_overpowered_by_ai,"How to get empowered, not overpowered, by AI",Max Tegmark
595676,20368,kai_fu_lee_how_ai_can_save_our_humanity,How AI can save our humanity,Kai-Fu Lee
587540,24724,kim_preshoff_what_s_a_smartphone_made_of,What's a smartphone made of?,Kim Preshoff
587540,138317,aaron_perzanowski_why_don_t_companies_want_you_to_repair_your_stuff,Why don’t companies want you to repair your stuff?,Aaron Perzanowski
587540,96034,charles_wallace_and_sajan_saini_why_a_sausage_can_do_what_your_gloves_cannot,Why a sausage can do what your gloves cannot,Charles Wallace and Sajan Saini
595674,159831,melinda_janki_how_we_took_on_an_oil_giant_and_won,How we took on an oil giant — and won,Melinda Janki
