id,tag
597556,technology
597556,education
597556,space
597556,TED-Ed
597556,animation
598761,climate change
598761,global issues
598761,economics
598761,health
598761,poverty
598761,finance
598761,Countdown
598761,ethics
597554,education
597554,animals
597554,evolution
597554,biology
597554,TED-Ed
597554,animation
581925,design
581925,innovation
581925,food
581925,creativity
581925,art
597955,culture
597955,technology
597955,media
597955,sports
597955,AI
597955,algorithm
596968,environment
596968,pollution
596968,TED Fellows
596968,South America
596968,conservation
594330,climate change
594330,science
594330,sustainability
594330,technology
594330,engineering
594330,innovation
594330,Countdown
594330,fossil fuels
596973,culture
596973,time
596973,happiness
596973,personal growth
596973,society
596973,money
595448,education
595448,health
595448,biology
595448,illness
595448,TED-Ed
595448,animation
595448,human body
596934,culture
596934,interview
596934,education
596934,social change
596934,parenting
596934,personal growth
596934,family
596934,trust
596934,kids
596934,TED Membership
597320,global issues
597320,politics
597320,social change
597320,war
597320,violence
597320,Middle East
597320,current events
596936,culture
596936,politics
596936,technology
596936,social change
596936,personal growth
596936,social media
594328,culture
594328,technology
594328,social change
594328,personal growth
594328,society
594328,social media
595676,technology
595676,business
595676,interview
595676,innovation
595676,psychology
595676,personal growth
595676,AI
587540,technology
587540,education
587540,photography
587540,TED-Ed
587540,animation
595674,climate change
595674,politics
595674,sustainability
595674,energy
595674,solar energy
595674,wind energy
595674,Countdown
595674,renewable energy
595674,fossil fuels
594333,technology
594333,creativity
594333,AI
594333,social media
595446,culture
595446,education
595446,storytelling
595446,ancient world
595446,TED-Ed
595446,animation
590428,design
590428,creativity
590428,art
590428,Ideas
595670,interview
595670,social change
595670,disease
595670,health
595670,community
595670,leadership
595670,medicine
595670,society
595670,youth
594092,education
594092,disease
594092,food
594092,biology
594092,illness
594092,bacteria
594092,agriculture
594092,TED-Ed
594092,farming
594092,animation
594092,human body
594325,climate change
594325,energy
594325,solar energy
594325,finance
594325,india
594325,Countdown
594325,renewable energy
591849,climate change
591849,sustainability
591849,technology
591849,AI
591849,electricity
591849,Countdown
595444,culture
595444,education
595444,ancient world
595444,TED-Ed
595444,animation
595373,business
595373,psychology
595373,relationships
595373,communication
595373,work
595373,emotions
592537,climate change
592537,sustainability
592537,social change
592537,pollution
592537,law
592537,Countdown
592537,fossil fuels
594533,science
594533,technology
594533,entrepreneur
594533,success
594533,work
594533,motivation
594533,goals
595205,entertainment
595205,media
595205,storytelling
595205,sports
595205,exercise
592539,science
592539,evolution
592539,biology
592539,history
592539,language
592539,humanity
592539,Life
593674,technology
593674,entertainment
593674,relationships
593674,parenting
593674,sports
593674,personal growth
593674,gaming
593674,family
593674,kids
591506,cities
591506,history
591506,community
591506,United States
591506,violence
591506,society
591506,The Audacious Project
593185,climate change
593185,sustainability
593185,economics
593185,finance
593185,Countdown
581928,science
581928,technology
581928,DNA
581928,genetics
581928,disease
581928,health
581928,health care
581928,cancer
581928,medicine
581928,AI
581928,public health
581928,medical research
581928,kids
594323,culture
594323,politics
594323,technology
594323,society
594323,Life
593340,death
593340,education
593340,philosophy
593340,TED-Ed
593340,animation
593340,ethics
593340,Life
594074,climate change
594074,environment
594074,science
594074,sustainability
594074,technology
594074,agriculture
594074,farming
594074,Countdown
594074,adaptation
574655,culture
574655,community
574655,work
574655,personal growth
574655,society
574655,emotions
591845,education
591845,food
591845,biology
591845,history
591845,TED-Ed
591845,animation
591845,fungi
587797,science
587797,innovation
587797,disease
587797,health
587797,cancer
587797,psychology
587797,medicine
587797,medical research
587786,science
587786,technology
587786,disease
587786,health
587786,health care
587786,medicine
587786,AI
587786,The Audacious Project
592862,environment
592862,food
592862,animals
592862,farming
592862,ethics
592819,technology
592819,design
592819,creativity
592819,art
592819,film
592819,AI
589671,education
589671,history
589671,money
589671,finance
589671,TED-Ed
589671,animation
585774,global issues
585774,business
585774,economics
585774,entrepreneur
585774,social change
585774,finance
585774,refugees
585774,The Audacious Project
591512,climate change
591512,economics
591512,finance
591512,South America
591512,Countdown
591512,renewable energy
591512,fossil fuels
589669,science
589669,genetics
589669,education
589669,philosophy
589669,TED-Ed
589669,animation
589669,ethics
592967,politics
592967,economics
592967,leadership
592967,society
592967,Europe
592967,immigration
591591,leadership
591591,success
591591,work
591591,personal growth
591792,science
591792,education
591792,animals
591792,evolution
591792,history
591792,TED-Ed
591792,animation
590426,climate change
590426,media
590426,social change
590426,storytelling
590426,social media
590426,youth
590426,india
590426,Countdown
592356,science
592356,technology
592356,health
592356,health care
592356,cancer
592356,biology
592356,TEDx
592356,forensics
592356,human body
591525,environment
591525,education
591525,Africa
591525,animals
591525,insects
591525,TED-Ed
591525,ecology
591525,animation
579851,education
579851,social change
579851,parenting
579851,personal growth
579851,family
579851,kids
594450,technology
594450,music
594450,creativity
594450,art
594450,poetry
594450,AI
585749,science
585749,technology
585749,engineering
585749,DNA
585749,genetics
585749,innovation
585749,disease
585749,biology
585749,AI
585749,medical research
585749,Life
574282,social change
574282,poetry
574282,AI
574282,machine learning
591069,culture
591069,business
591069,marketing
591069,humanity
591069,public health
591069,society
590384,education
590384,health
590384,biology
590384,TED-Ed
590384,animation
590384,human body
590384,heart health
590785,performance
590785,parenting
590785,comedy
590785,sex
590785,TED Fellows
589879,science
589879,sustainability
589879,technology
589879,business
589879,innovation
589879,food
589879,health
589667,science
589667,education
589667,insects
589667,TED-Ed
589667,animation
583725,music
583725,performance
583725,art
583725,history
590726,climate change
590726,environment
590726,sustainability
590726,business
590726,economics
590726,Brazil
590726,leadership
590726,trees
590726,Countdown
590030,sustainability
590030,business
590030,entrepreneur
590030,social change
590030,food
590030,health
590030,community
590927,culture
590927,global issues
590927,economics
590927,health
590927,community
590927,society
590927,immigration
590927,policy
590927,refugees
589664,education
589664,animals
589664,brain
589664,birds
589664,TED-Ed
589664,animation
585757,success
585757,personal growth
585757,decision-making
585757,Life
587684,music
587684,performance
587684,art
590283,health
590283,psychology
590283,relationships
590283,communication
590283,mental health
590283,emotions
589662,science
589662,education
589662,universe
589662,space
589662,TED-Ed
589662,animation
589662,Sun
589147,business
589147,economics
589147,entrepreneur
589147,innovation
589147,Africa
589147,community
589147,women in business
589147,Countdown
589177,economics
589177,collaboration
589177,innovation
589177,social change
589177,psychology
589177,history
589177,communication
589177,activism
589177,language
589177,decision-making
589177,society
590026,culture
590026,business
590026,economics
590026,work
590026,society
590026,TED Fellows
589882,entertainment
589882,music
589882,performance
589882,emotions
585464,science
585464,education
585464,health
585464,health care
585464,biology
585464,medicine
585464,Surgery
585464,TED-Ed
585464,animation
585464,human body
574657,technology
574657,music
574657,creativity
574657,art
574657,future
574657,AI
589310,science
589310,health
589310,health care
589310,aging
589310,women
589310,TEDx
588323,climate change
588323,sustainability
588323,technology
588323,innovation
588323,future
588323,energy
588323,Countdown
588323,renewable energy
587615,technology
587615,creativity
587615,art
587615,film
587615,AI
582198,performance
582198,social change
582198,art
582198,communication
582198,personal growth
582198,society
582198,capitalism
587546,culture
587546,education
587546,ancient world
587546,TED-Ed
587546,animation
588566,culture
588566,technology
588566,happiness
588566,society
588566,TEDx
588566,Internet
583084,education
583084,innovation
583084,social change
583084,Africa
583084,The Audacious Project
584566,technology
584566,cities
584566,future
584566,AI
584566,data
584566,maps
588269,climate change
588269,sustainability
588269,industrial design
588269,collaboration
588269,Africa
588269,natural resources
588269,Countdown
588269,renewable energy
587556,science
587556,technology
587556,DNA
587556,innovation
587556,health
587556,biology
587556,future
587556,AI
587556,TED Membership
587544,education
587544,health
587544,biology
587544,public health
587544,TED-Ed
587544,animation
587544,human body
587552,culture
587552,politics
587552,economics
587552,military
587552,social change
587552,war
587552,humanity
587552,society
587552,TEDx
585713,business
585713,film
585713,personal growth
585713,writing
585713,TV
585713,career
586989,climate change
586989,global issues
586989,sustainability
586989,technology
586989,innovation
586989,social change
586989,Africa
586989,philanthropy
586989,energy
586989,solar energy
586989,electricity
586989,Countdown
586989,renewable energy
586989,investing
585697,technology
585697,design
585697,engineering
585697,computers
585697,entertainment
585697,media
585697,creativity
585697,AI
585697,gaming
573567,technology
573567,performance
573567,robots
573567,comedy
573567,AI
585289,education
585289,psychology
585289,brain
585289,mental health
585289,prison
585289,TED-Ed
585289,animation
586305,business
586305,leadership
586305,work
586305,personal growth
586305,TEDx
582302,politics
582302,technology
582302,United States
582302,democracy
582302,policy
586302,environment
586302,global issues
586302,politics
586302,society
586302,Middle East
586302,Countdown
585470,business
585470,collaboration
585470,psychology
585470,relationships
585470,communication
585470,work
585470,TEDx
585470,worklife
573920,education
573920,history
573920,insects
573920,TED-Ed
573920,animation
583724,culture
583724,technology
583724,business
583724,entrepreneur
583724,Africa
583724,society
583724,finance
558619,nature
558619,creativity
558619,poetry
558619,writing
558619,gardening
584127,climate change
584127,sustainability
584127,food
584127,water
584127,solar energy
584127,farming
584127,resources
584127,Countdown
581922,technology
581922,design
581922,architecture
581922,innovation
581922,art
581922,history
581922,spirituality
584756,technology
584756,computers
584756,innovation
584756,animals
584756,relationships
584756,communication
584756,TEDx
584756,Internet
574668,education
574668,food
574668,animals
574668,insects
574668,ancient world
574668,agriculture
574668,TED-Ed
574668,plants
574668,archaeology
574668,animation
587351,technology
587351,AI
587351,social media
583087,technology
583087,corruption
583087,media
583087,future
583087,photography
583087,AI
583087,trust
582276,culture
582276,cities
582276,creativity
582276,art
582276,humanity
583116,climate change
583116,environment
583116,science
583116,sustainability
583116,technology
583116,social change
583116,energy
583116,solar energy
583116,data
583116,Countdown
583116,renewable energy
583116,fossil fuels
579724,creativity
579724,art
579724,poetry
579724,writing
579724,books
583081,technology
583081,innovation
583081,future
583081,work
583081,AI
583081,society
583081,artificial intelligence
583081,career
582992,media
582992,social change
582992,personal growth
582992,identity
582992,TEDx
582992,Autism spectrum disorder
582992,diversity
582992,inclusion
582992,TV
569173,technology
569173,design
569173,engineering
569173,education
569173,universe
569173,space
569173,TED-Ed
569173,Sun
574442,culture
574442,psychology
574442,history
574442,storytelling
574442,communication
574442,community
574442,illness
574442,society
581931,education
581931,physics
581931,space
581931,math
581931,TED-Ed
581931,animation
574653,politics
574653,social change
574653,communication
574653,activism
574653,language
574653,society
574653,democracy
574653,protest
582442,global issues
582442,politics
582442,military
582442,war
582442,United States
582442,government
582442,Middle East
582442,international relations
582442,current events
582032,technology
582032,business
582032,media
582032,creativity
582032,future
582032,work
582032,personal growth
582032,AI
582032,social media
582032,work-life balance
582032,career
574626,education
574626,TED-Ed
574626,animation
574626,ethics
574626,Ideas
574659,technology
574659,music
574659,performance
574659,art
574659,future
574659,AI
574659,humanity
572856,culture
572856,science
572856,social change
572856,art
572856,history
572856,TED Fellows
572856,quantum
566666,education
566666,history
566666,medicine
566666,medical research
566666,TED-Ed
566666,animation
566666,human body
571327,climate change
571327,environment
571327,sustainability
571327,business
571327,collaboration
571327,consumerism
571327,trees
571327,conservation
571327,Countdown
574651,business
574651,creativity
574651,art
574651,work
574333,health
574333,psychology
574333,relationships
574333,personal growth
574333,mental health
574333,emotions
573922,education
573922,food
573922,history
573922,religion
573922,sex
573922,TED-Ed
573922,animation
579601,creativity
579601,art
579601,humanity
579601,TEDx
574284,climate change
574284,environment
574284,science
574284,technology
574284,social change
574284,animals
574284,nature
574284,biodiversity
574284,conservation
574284,ecology
574284,plants
574284,wildlife
573859,education
573859,history
573859,ancient world
573859,TED-Ed
573859,animation
571629,culture
571629,entertainment
571629,performance
571629,storytelling
571629,comedy
574280,music
574280,performance
574280,dance
574331,health
574331,art
574331,medicine
574331,mental health
574331,pain
574331,emotions
574229,science
574229,education
574229,cognitive science
574229,psychology
574229,brain
574229,mental health
574229,neuroscience
574229,medical research
574229,TED-Ed
574229,animation
574229,drugs
574229,therapy
568837,corruption
568837,relationships
568837,communication
568837,society
568837,trust
574435,culture
574435,humanity
574435,society
574435,crime
574435,TEDx
574435,Internet
573663,climate change
573663,environment
573663,science
573663,technology
573663,nature
573663,fish
573663,community
573663,marine biology
573663,indigenous peoples
573663,The Audacious Project
573663,ocean
574502,global issues
574502,politics
574502,technology
574502,military
574502,innovation
574502,history
574502,war
574502,drones
574502,society
574502,government
574502,international relations
574502,current events
587169,politics
587169,interview
587169,social change
587169,activism
587169,personal growth
587169,china
587169,journalism
587169,human rights
574180,culture
574180,science
574180,education
574180,history
574180,storytelling
574180,paleontology
574180,ancient world
574180,geology
574180,TED-Ed
574180,animation
572800,creativity
572800,happiness
572800,personal growth
572800,society
572800,prison
574288,science
574288,technology
574288,computers
574288,animals
574288,nature
574288,language
574288,AI
574288,sound
574288,machine learning
574189,health
574189,photography
574189,leadership
574189,success
574189,work
574189,personal growth
574189,emotions
587173,science
587173,sustainability
587173,technology
587173,engineering
587173,architecture
587173,interview
587173,innovation
587173,energy
587173,space
573975,science
573975,technology
573975,engineering
573975,NASA
573975,architecture
573975,innovation
573975,future
573975,universe
573975,space
572458,education
572458,psychology
572458,brain
572458,decision-making
572458,TED-Ed
572458,animation
572458,teenagers
568749,business
568749,work
568749,mental health
568749,work-life balance
574026,culture
574026,science
574026,technology
574026,communication
574026,community
574026,TEDx
573519,climate change
573519,science
573519,sustainability
573519,technology
573519,design
573519,economics
573519,education
573519,energy
573519,natural disaster
573519,solar energy
573519,wind energy
573519,TED-Ed
573519,infrastructure
573519,natural resources
573519,animation
573519,renewable energy
573565,sustainability
573565,business
573565,innovation
573565,future
573565,work
573565,manufacturing
573574,global issues
573574,politics
573574,media
573574,social change
573574,journalism
573574,policy
568747,technology
568747,design
568747,computers
568747,robots
568747,creativity
568747,art
568747,social media
573237,death
573237,education
573237,philosophy
573237,TED-Ed
573237,animation
573237,ethics
573671,culture
573671,love
573671,communication
573671,language
573671,humanity
573671,society
573671,TEDx
573671,emotions
573611,culture
573611,technology
573611,media
573611,creativity
573611,Internet
573611,tech
573161,education
573161,animals
573161,evolution
573161,TED-Ed
573161,animation
573576,science
573576,technology
573576,computers
573576,innovation
573576,future
573576,AI
573576,policy
573576,machine learning
571019,climate change
571019,storytelling
571019,communication
571019,journalism
571019,Countdown
571325,climate change
571325,culture
571325,environment
571325,art
571325,activism
571325,Countdown
572872,sustainability
572872,flight
572872,education
572872,finance
572872,TED-Ed
572872,animation
572872,fossil fuels
573301,technology
573301,computers
573301,innovation
573301,future
573301,AI
573301,data
573301,machine learning
569976,technology
569976,business
569976,entrepreneur
569976,food
569976,future
569976,poverty
569976,humanity
569976,compassion
569976,society
573159,education
573159,psychology
573159,sports
573159,brain
573159,TED-Ed
573159,addiction
573159,animation
572821,culture
572821,technology
572821,media
572821,communication
572821,language
572821,social media
572821,TEDx
572821,youth
572821,algorithm
573200,business
573200,entrepreneur
573200,interview
573200,food
573200,community
573200,leadership
573200,women in business
572874,technology
572874,death
572874,love
572874,storytelling
572874,language
572874,AI
572874,family
572874,emotions
568845,education
568845,animals
568845,evolution
568845,biology
568845,fish
568845,TED-Ed
568845,animation
568845,ocean
572597,technology
572597,relationships
572597,community
572597,product design
572597,parenting
572597,AI
572597,family
572453,death
572453,cancer
572453,parenting
572453,Life
572913,love
572913,community
572913,personal growth
572913,family
572913,emotions
572913,kids
568841,politics
568841,education
568841,history
568841,war
568841,government
568841,TED-Ed
568841,animation
572915,culture
572915,technology
572915,collaboration
572915,social change
572915,evolution
572915,relationships
572915,parenting
572915,anthropology
572866,psychology
572866,communication
572866,AI
572866,mental health
572866,society
570896,death
570896,creativity
570896,art
570896,storytelling
570896,family
570896,emotions
556124,climate change
556124,sustainability
556124,technology
556124,industrial design
556124,business
556124,innovation
556124,resources
572460,culture
572460,education
572460,storytelling
572460,TED-Ed
572460,animation
572819,technology
572819,entertainment
572819,media
572819,innovation
572819,creativity
572819,art
572819,storytelling
572819,film
572819,AI
572819,artificial intelligence
572909,science
572909,technology
572909,AI
572909,machine learning
572753,culture
572753,technology
572753,innovation
572753,future
572753,AI
572813,politics
572813,economics
572813,United States
572813,government
572795,gender
572795,leadership
572795,personal growth
572795,society
572795,TEDx
572795,youth
572795,emotions
571762,education
571762,TED-Ed
571762,animation
572154,health
572154,happiness
572154,work
572154,personal growth
572154,work-life balance
572154,emotions
572154,TED Membership
571525,communication
571525,leadership
571525,work
571525,personal growth
571525,TEDx
572449,science
572449,education
572449,biology
572449,crime
572449,TED-Ed
572449,forensics
572449,animation
572449,human body
572526,global issues
572526,technology
572526,military
572526,software
572526,robots
572526,war
572526,AI
571874,politics
571874,technology
571874,media
571874,AI
571874,law
571874,democracy
571874,social media
571874,Internet
571874,government
571874,data
571874,journalism
568286,politics
568286,performance
568286,social change
568286,art
568286,dance
568286,public health
568286,society
570221,climate change
570221,environment
570221,storytelling
570221,communication
570221,community
570221,Countdown
570221,ocean
570182,education
570182,solar energy
570182,TED-Ed
570182,animation
570182,Sun
572397,climate change
572397,environment
572397,future
572397,activism
572397,humanity
568347,music
568347,performance
568347,dance
571654,music
571654,performance
571654,health
571654,creativity
571654,TED Fellows
571654,coronavirus
571026,science
571026,education
571026,nature
571026,trees
571026,botany
571026,TED-Ed
571026,plants
571026,animation
572138,technology
572138,computers
572138,innovation
572138,demo
572138,AI
572138,augmented reality
570223,climate change
570223,culture
570223,science
570223,indigenous peoples
570223,Countdown
571230,culture
571230,social change
571230,love
571230,relationships
571230,happiness
571230,family
571230,TEDx
571230,Life
571872,technology
571872,computers
571872,media
571872,AI
571872,Internet
571872,data
571872,machine learning
570065,climate change
570065,sustainability
570065,technology
570065,cities
570065,education
570065,future
570065,TED-Ed
570065,animation
571819,technology
571819,engineering
571819,innovation
571819,robots
571819,future
571819,demo
571819,AI
571407,culture
571407,education
571407,storytelling
571407,china
571407,TED-Ed
571407,animation
571714,politics
571714,technology
571714,social change
571714,activism
571714,democracy
571714,social media
571714,Internet
571714,government
571714,data
571714,journalism
571714,protest
567960,science
567960,education
567960,astronomy
567960,Moon
567960,Planets
567960,space
567960,TED-Ed
567960,animation
567960,Sun
567960,ocean
569606,climate change
569606,culture
569606,history
569606,storytelling
569606,Countdown
569184,health
569184,sports
569184,personal growth
569184,human body
569604,climate change
569604,environment
569604,science
569604,technology
569604,pollution
569604,Countdown
568358,education
568358,history
568358,poetry
568358,literature
568358,ancient world
568358,TED-Ed
568358,animation
563999,business
563999,entrepreneur
563999,food
563999,leadership
563999,china
567952,technology
567952,relationships
567952,communication
567952,community
567952,gaming
567952,friendship
570900,climate change
570900,sustainability
570900,education
570900,food
570900,Africa
570900,animals
570900,history
570900,agriculture
570900,government
570900,TED-Ed
570900,farming
570900,animation
570303,culture
570303,media
570303,parenting
570303,humor
570303,family
570303,TEDx
570303,kids
570303,TV
567891,psychology
567891,relationships
567891,parenting
567891,personal growth
567891,emotions
571007,music
571007,performance
571007,creativity
571007,art
571007,love
564001,business
564001,future
564001,leadership
564001,happiness
564001,work
564001,work-life balance
570056,health
570056,health care
570056,history
570056,women
570056,human body
570056,public speaking
570056,Ideas
568843,education
568843,history
568843,literature
568843,TED-Ed
568843,animation
568751,culture
568751,food
568751,Africa
568751,fish
568751,future
568751,community
568751,society
568751,Countdown
568751,ocean
569200,social change
569200,community
569200,sports
569200,personal growth
569200,refugees
569200,human rights
569200,public speaking
569200,Ideas
569187,culture
569187,politics
569187,disease
569187,health
569187,psychology
569187,society
569187,TEDx
569187,emotions
569609,health
569609,nature
569609,relationships
569609,parenting
569609,happiness
569609,water
569609,friendship
569609,emotions
569609,kids
569609,public speaking
569609,Ideas
568046,climate change
568046,sustainability
568046,technology
568046,education
568046,nature
568046,TED-Ed
568046,natural resources
568046,animation
567315,business
567315,leadership
567315,personal growth
567315,decision-making
570077,storytelling
570077,communication
570077,motivation
570077,public speaking
570077,Ideas
569181,sustainability
569181,collaboration
569181,relationships
569181,communication
569181,community
569181,Countdown
564723,business
564723,leadership
564723,personal growth
570306,culture
570306,history
570306,storytelling
570306,writing
570306,family
570306,books
567944,technology
567944,innovation
567944,energy
567944,pollution
567944,AI
567944,Countdown
569176,education
569176,psychology
569176,decision-making
569176,TED-Ed
569176,animation
563995,business
563995,leadership
563995,personal growth
567950,relationships
567950,community
567950,leadership
567950,work
567950,personal growth
567950,identity
567950,work-life balance
567950,emotions
567950,ethics
562401,science
562401,sustainability
562401,technology
562401,education
562401,innovation
562401,health
562401,biology
562401,water
562401,TED-Ed
562401,animation
562401,ocean
568763,sports
568763,success
568763,personal growth
568763,TEDx
567102,technology
567102,entertainment
567102,music
567102,innovation
567102,creativity
567102,art
567102,AI
567104,creativity
567104,future
567104,personal growth
568958,business
568958,leadership
568958,work
568958,society
568958,TEDx
568958,youth
568958,work-life balance
563168,education
563168,health
563168,biology
563168,public health
563168,TED-Ed
563168,animation
563168,human body
566064,climate change
566064,environment
566064,sustainability
566064,pollution
566064,infrastructure
566064,Countdown
563997,health
563997,decision-making
563997,math
565740,science
565740,sustainability
565740,technology
565740,invention
565740,education
565740,innovation
565740,energy
565740,TED-Ed
565740,resources
565740,natural resources
565740,animation
565740,electricity
565740,renewable energy
567881,design
567881,computers
567881,architecture
567881,cities
567881,creativity
567881,art
567881,community
567881,beauty
567881,public space
568282,love
568282,happiness
568282,personal growth
568282,self
568282,meditation
568282,TED Membership
567505,culture
567505,media
567505,social change
567505,marketing
567505,communication
567505,film
567505,women
567505,feminism
563142,science
563142,education
563142,health
563142,evolution
563142,biology
563142,microbiology
563142,TED-Ed
563142,animation
563142,human body
567142,science
567142,communication
567142,personal growth
567142,TEDx
547113,exploration
547113,travel
547113,TED Fellows
547113,ocean
567095,climate change
567095,sustainability
567095,business
567095,food
567095,society
567095,money
567095,farming
567095,Countdown
562397,culture
562397,education
562397,storytelling
562397,TED-Ed
562397,animation
564863,business
564863,psychology
564863,work
564863,personal growth
564863,decision-making
564863,work-life balance
564863,emotions
567938,business
567938,relationships
567938,family
567938,work-life balance
567938,worklife
566059,culture
566059,business
566059,work
566059,society
566059,diversity
566059,inclusion
566787,science
566787,genetics
566787,education
566787,animals
566787,biology
566787,insects
566787,TED-Ed
566787,bioethics
566787,animation
566787,CRISPR
566787,ethics
565662,technology
565662,creativity
565662,art
565662,AI
565662,data
565662,policy
565664,culture
565664,innovation
565664,future
565664,history
565664,philosophy
565664,humanity
565664,society
565664,Countdown
567223,politics
567223,United States
567223,government
567223,policy
567223,current events
566889,technology
566889,design
566889,engineering
566889,computers
566889,education
566889,innovation
566889,TED-Ed
566889,natural resources
566889,animation
566889,nanotechnology
565048,collaboration
565048,relationships
565048,communication
565048,personal growth
565048,TEDx
564725,health
564725,love
564725,psychology
564725,relationships
564725,mental health
564725,friendship
564725,emotions
563312,climate change
563312,science
563312,brain
563312,decision-making
563312,neuroscience
563312,Countdown
566114,education
566114,sports
566114,personal growth
566114,potential
566114,TEDx
566114,policy
566114,india
566114,teaching
565782,technology
565782,education
565782,future
565782,AI
565782,TED-Ed
565782,animation
565782,ethics
565782,artificial intelligence
558470,climate change
558470,science
558470,food
558470,agriculture
558470,Countdown
566061,business
566061,entrepreneur
566061,social change
566061,community
566061,philanthropy
566061,money
566061,international development
557687,science
557687,sustainability
557687,food
557687,health
557687,Countdown
564745,education
564745,psychology
564745,biology
564745,brain
564745,TED-Ed
564745,animation
564745,human body
566004,love
566004,relationships
566004,communication
566004,parenting
566004,TEDx
564491,science
