id,slug,speakers,title,url
596896,yadvinder_malhi_how_to_measure_the_planet_s_heartbeat,Yadvinder Malhi,How to measure the planet’s heartbeat,https://www.ted.com/talks/yadvinder_malhi_how_to_measure_the_planet_s_heartbeat
598822,tina_yong_why_colleges_need_to_stop_rewarding_the_trauma_essay,Tina Yong,"Why colleges need to stop rewarding the ""trauma essay""",https://www.ted.com/talks/tina_yong_why_colleges_need_to_stop_rewarding_the_trauma_essay
597552,cecilia_m_orphan_what_makes_a_college_good,Cecilia M. Orphan,What makes a college “good”?,https://www.ted.com/talks/cecilia_m_orphan_what_makes_a_college_good
600576,jeffrey_angles_the_japanese_legend_of_the_phantom_samurai,Jeffrey Angles,The Japanese legend of the phantom samurai,https://www.ted.com/talks/jeffrey_angles_the_japanese_legend_of_the_phantom_samurai
599285,christoph_lassner_what_if_you_could_talk_to_your_favorite_character_in_a_movie,Christoph Lassner,What if you could talk to your favorite character in a movie?,https://www.ted.com/talks/christoph_lassner_what_if_you_could_talk_to_your_favorite_character_in_a_movie
600314,jennifer_pfeifer_the_surprising_science_of_adolescent_brains,Jennifer Pfeifer,The surprising science of adolescent brains,https://www.ted.com/talks/jennifer_pfeifer_the_surprising_science_of_adolescent_brains
600348,bonnie_tsui_how_to_use_your_muscles_or_risk_losing_them,Bonnie Tsui,How to use your muscles — or risk losing them,https://www.ted.com/talks/bonnie_tsui_how_to_use_your_muscles_or_risk_losing_them
600269,catherine_nakalembe_how_satellites_are_supporting_farmers_across_africa,Catherine Nakalembe,How satellites are supporting farmers across Africa,https://www.ted.com/talks/catherine_nakalembe_how_satellites_are_supporting_farmers_across_africa
600155,ted_ed_what_s_the_best_way_to_lift_people_out_of_poverty,TED-Ed,What’s the best way to lift people out of poverty?,https://www.ted.com/talks/ted_ed_what_s_the_best_way_to_lift_people_out_of_poverty
599488,troy_vincent_sr_touchdown_the_flag_football_movement_is_here,Troy Vincent Sr.,Touchdown! The flag football movement is here,https://www.ted.com/talks/troy_vincent_sr_touchdown_the_flag_football_movement_is_here
