id,tag
556000,technology
556000,business
556000,consumerism
556000,marketing
556000,AI
554551,science
554551,engineering
554551,invention
554551,education
554551,innovation
554551,TED-Ed
554551,animation
555211,politics
555211,technology
555211,media
555211,communication
555211,AI
555211,democracy
555211,government
555211,trust
547589,social change
547589,community
547589,activism
547589,women
547589,Middle East
547589,human rights
547589,equality
548518,creativity
548518,art
548518,community
548518,beauty
548518,painting
548518,street art
555215,climate change
555215,environment
555215,science
555215,social change
555215,violence
555215,society
555215,Countdown
554289,climate change
554289,environment
554289,education
554289,natural disaster
554289,TED-Ed
554289,animation
552753,business
552753,innovation
552753,leadership
552753,work
552753,personal growth
552753,worklife
554577,business
554577,storytelling
554577,communication
554577,personal growth
554577,personality
554577,public speaking
555991,health
555991,health care
555991,medicine
545606,climate change
545606,culture
545606,food
545606,parenting
545606,emotions
545606,kids
554281,social change
554281,health
554281,community
554281,activism
554281,AIDS
554281,public health
554281,TED Fellows
554281,policy
552521,love
552521,relationships
552521,friendship
547053,sustainability
547053,technology
547053,design
547053,business
547053,education
547053,consumerism
547053,product design
547053,TED-Ed
547053,animation
554575,health
554575,health care
554575,medicine
554575,AI
553436,social change
553436,love
553436,communication
553436,community
553436,United States
553436,society
553436,curiosity
554279,music
554279,performance
554279,animals
554279,nature
554559,technology
554559,art
554559,comedy
554559,AI
554559,humor
554559,Life
554361,music
554361,performance
554361,memory
554361,art
554361,emotions
546521,climate change
546521,environment
546521,sustainability
546521,food
546521,health
546521,biodiversity
546521,policy
546521,Countdown
529225,science
529225,memory
529225,education
529225,health
529225,biology
529225,brain
529225,TED-Ed
529225,sleep
529225,animation
552524,culture
552524,social change
552524,love
552524,psychology
552524,relationships
552524,society
552524,emotions
552524,Life
551212,education
551212,math
551212,TED-Ed
551212,animation
552760,business
552760,entrepreneur
552760,collaboration
552760,innovation
552760,product design
552760,leadership
553513,climate change
553513,environment
553513,social change
553513,community
553513,activism
553513,natural disaster
553513,sociology
553513,Countdown
547179,science
547179,technology
547179,DNA
547179,genetics
547179,health
547179,animals
547179,biology
547179,medical research
547179,human body
553438,technology
553438,computers
553438,software
553438,education
553438,AI
553438,Europe
553438,code
553438,machine learning
546347,education
546347,philosophy
546347,TED-Ed
546347,animation
546347,ethics
553120,culture
553120,business
553120,innovation
553120,social change
553120,Asia
553120,society
553120,Ideas
548273,climate change
548273,environment
548273,food
548273,Countdown
553107,technology
553107,computers
553107,AI
553107,TEDx
553107,algorithm
553107,machine learning
548462,culture
548462,education
548462,history
548462,religion
548462,war
548462,violence
548462,TED-Ed
548462,animation
548462,indigenous peoples
552751,love
552751,relationships
552751,community
552751,personal growth
552751,friendship
552751,emotions
547177,global issues
547177,business
547177,education
547177,social change
547177,philanthropy
547177,international development
552698,global issues
552698,politics
552698,social change
552698,United States
552698,government
552698,international relations
551560,entertainment
551560,performance
551560,dance
551560,toys
552167,education
552167,health
552167,medicine
552167,medical research
552167,Surgery
552167,TED-Ed
552167,animation
544424,climate change
544424,environment
544424,creativity
544424,leadership
544424,personal growth
544424,decision-making
544424,consciousness
544424,Countdown
552691,social change
552691,mental health
552691,spirituality
551235,creativity
551235,art
551235,community
551235,photography
551235,personal growth
551235,identity
551235,body language
551235,human body
549389,science
549389,education
549389,disease
549389,health
549389,health care
549389,history
549389,medicine
549389,public health
549389,Vaccines
549389,medical research
549389,TED-Ed
549389,animation
549033,politics
549033,corruption
549033,Africa
549033,democracy
549033,government
551528,sustainability
551528,design
551528,business
551528,innovation
551528,creativity
551528,consumerism
551528,fashion
549417,health
549417,money
549417,finance
551459,politics
551459,social change
551459,communication
551459,activism
551459,democracy
551459,government
548943,education
548943,storytelling
548943,literature
548943,TED-Ed
548943,animation
548284,global issues
548284,politics
548284,business
548284,economics
548284,marketing
549045,politics
549045,technology
549045,social change
549045,AI
549045,democracy
549045,social media
549045,TEDx
549045,Internet
549045,machine learning
549279,music
549279,performance
549279,poetry
549279,universe
549279,space
549279,humanity
549279,Big Bang
549279,Life
548464,climate change
548464,environment
548464,global issues
548464,education
548464,health
548464,public health
548464,TED-Ed
548464,animation
548464,human body
549283,social change
549283,history
549283,sociology
549283,writing
549283,crime
549283,journalism
549283,policy
550582,climate change
550582,environment
550582,sustainability
550582,AI
550582,Countdown
548286,business
548286,education
548286,health
548286,health care
548286,medicine
548286,United States
548286,TED-Ed
548286,animation
549352,climate change
549352,environment
549352,science
549352,technology
549352,engineering
549352,nature
549352,natural disaster
548271,business
548271,relationships
548271,communication
548271,TEDx
548271,trust
547664,education
547664,TED-Ed
547664,animation
547094,technology
547094,nature
547094,brain
547094,AI
547094,math
547094,TED Fellows
547094,algorithm
546035,climate change
546035,environment
546035,sustainability
546035,business
546035,food
546035,agriculture
546035,government
546035,policy
546035,farming
546537,environment
546537,science
546537,technology
546537,DNA
546537,data
546537,indigenous peoples
547845,culture
547845,creativity
547845,art
547845,storytelling
547845,film
547845,personal growth
547845,family
544420,environment
544420,sustainability
544420,economics
544420,health care
544420,humanity
544420,money
544420,Countdown
548173,science
548173,education
548173,health
548173,biology
548173,sight
548173,TED-Ed
548173,animation
548173,human body
545464,technology
545464,music
545464,nature
545464,creativity
545464,universe
545464,AI
545464,sound
545464,meditation
542925,entertainment
542925,music
542925,performance
547277,parenting
547277,personal growth
547277,growing up
547587,design
547587,media
547587,innovation
547587,disease
547587,health
547587,storytelling
547587,data
546626,culture
546626,education
546626,storytelling
546626,ancient world
546626,TED-Ed
546626,animation
547987,culture
547987,death
547987,history
547987,storytelling
547092,social change
547092,health
547092,health care
547092,history
547092,race
547092,medicine
547092,public health
547092,social media
547092,TED Fellows
547113,exploration
547113,travel
547113,TED Fellows
547113,ocean
547111,health
547111,health care
547111,smell
547111,TED Fellows
547111,neuroscience
547111,neurology
547111,Alzheimer's
547109,science
547109,genetics
547109,social change
547109,disease
547109,health
547109,health care
547109,biology
547109,TED Fellows
547109,medical research
547107,technology
547107,biotech
547107,health
547107,health care
547107,AI
547107,TED Fellows
547107,equality
547105,global issues
547105,social change
547105,food
547105,art
547105,photography
547105,poverty
547105,TED Fellows
547105,policy
547103,performance
547103,art
547103,war
547103,theater
547103,TED Fellows
547103,kids
547101,global issues
547101,technology
547101,engineering
547101,health
547101,health care
547101,Africa
547101,Vaccines
547101,TED Fellows
547101,manufacturing
547101,electricity
547098,climate change
547098,environment
547098,social change
547098,nature
547098,history
547098,personal growth
547098,prison
547098,TED Fellows
547096,culture
547096,social change
547096,photography
547096,TED Fellows
547984,politics
547984,United States
547984,violence
547984,government
547984,policy
547984,TED Membership
546539,music
546539,performance
546539,dance
546352,education
546352,food
546352,nature
546352,TED-Ed
546352,plants
546352,natural resources
546352,animation
547172,war
547172,society
547172,crime
547172,government
547172,trust
545147,climate change
545147,environment
545147,science
545147,food
545147,nature
545147,agriculture
545147,farming
547271,entrepreneur
547271,career
547167,science
547167,nature
547167,creativity
547167,art
547167,photography
547167,insects
547280,work
547280,work-life balance
547280,worklife
546624,culture
546624,education
546624,history
546624,storytelling
546624,ancient world
546624,TED-Ed
546624,animation
545693,science
545693,technology
545693,NASA
545693,innovation
545693,future
545693,astronomy
545693,universe
545693,space
545693,solar system
545693,Sun
